joint_number,WT [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,"Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
3420,0.344,8.058,25.636,12416.394,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,9.7,EXT ML ( ON SW ),8,N,N,5.97,275.896,04:08,1.676,CMFL,1025,65000,E.R. WELD,24,1341.6,1445.6,2007.8,1300.3,1806.0,1427.8,1983.1,0.709,1.076,1.0,1.2,2022,988,3784.5168912000004,2.4560784,128.0,10269.931200000003,93.98,4479.897838871017
3420,0.344,9.308,24.386,12417.644,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,10.2,EXT ML ( ON SW ),8,N,N,5.97,276.159,04:08,1.885,CMFL,1025,65000,E.R. WELD,24,1341.6,1429.5,1985.4,1285.7,1785.7,1409.1,1957.1,0.717,1.067,1.0,1.2,2022,989,3784.8978912000002,2.8370784000000002,127.5,10269.931200000003,106.67999999999999,4479.97574858788
3420,0.344,12.923,20.771,12421.26,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,8.9,EXT ML ( ON SW ),8,N,N,5.97,276.917,04:08,1.047,CMFL,1025,65000,E.R. WELD,24,1341.6,1441.4,2002.0,1299.4,1804.8,1421.7,1974.5,0.711,1.072,1.0,1.2,2022,990,3786.0000480000003,3.9389304000000003,128.5,10269.931200000003,71.11999999999999,4480.201125816822
3420,0.344,18.445,15.253,12426.778,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,9.5,EXT ML ( ON SW ),8,N,N,5.97,278.075,04:08,1.257,CMFL,1025,65000,E.R. WELD,24,1341.6,1434.6,1992.5,1292.3,1794.9,1413.6,1963.4,0.715,1.07,1.0,1.2,2022,991,3787.6819344,5.6220360000000005,118.0,10269.931200000003,114.3,4480.545050470944
3420,0.344,20.738,12.956,12429.075,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,12.4,EXT ML ( ON SW ),8,N,N,5.97,278.557,04:08,2.932,CMFL,1025,65000,E.R. WELD,24,1341.6,1392.8,1934.4,1235.8,1716.4,1398.0,1941.6,0.736,1.038,1.0,1.2,2022,992,3788.3820600000004,6.3209424,129.0,10269.931200000003,149.86,4480.688217366653
3420,0.344,23.35,10.344,12431.686,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,10.1,EXT ML ( ON SW ),8,N,N,5.97,279.105,04:08,1.885,CMFL,1025,65000,E.R. WELD,24,1341.6,1439.4,1999.2,1296.2,1800.3,1435.6,1993.9,0.712,1.074,1.0,1.2,2022,993,3789.1778928,7.1170800000000005,124.5,10269.931200000003,165.1,4480.850955183238
3420,0.344,26.063,7.631,12434.4,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,5.4,EXT ML ( NEAR SW ),8,N,N,5.97,279.674,04:08,2.304,CMFL,1025,65000,E.R. WELD,24,1341.6,1470.8,2042.7,1362.6,1892.6,1456.1,2022.3,0.697,1.095,1.0,1.2,2022,994,3790.0051200000003,7.9440024000000005,135.0,10269.931200000003,81.28,4481.020112760491
3430,0.344,5.833,34.213,12447.864,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,12.8,EXT ML ( ON SW ),11,N,N,5.97,282.579,07:00,0.209,CMFL,1025,65000,E.R. WELD,24,1341.6,1432.8,1989.9,1276.7,1773.2,1437.5,1996.5,0.716,1.067,1.0,1.2,2022,996,3794.1089472,1.7778984000000002,209.5,12206.0208,60.959999999999994,4483.181911429056
3430,0.344,7.999,32.047,12450.03,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,9.3,EXT ML ( ON SW ),11,N,N,5.97,283.086,07:00,0.628,CMFL,1025,65000,E.R. WELD,24,1341.6,1446.4,2008.9,1304.8,1812.2,1438.4,1997.8,0.709,1.077,1.0,1.2,2022,997,3794.7691440000003,2.4380952000000002,208.5,12206.0208,55.88,4483.808048233332
3430,0.344,9.19,30.856,12451.22,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,4.3,EXT ML ( ON SW ),11,N,N,5.97,283.364,07:00,0.419,CMFL,1025,65000,E.R. WELD,24,1341.6,1497.5,2079.8,1414.8,1965.1,1487.9,2066.5,0.685,1.118,1.0,1.2,2022,998,3795.131856,2.801112,211.5,12206.0208,78.74,4484.15204767797
3430,0.344,13.274,26.768,12455.308,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,17.2,EXT ML ( ON SW ),11,N,N,5.97,284.319,07:00,0.419,CMFL,1025,65000,E.R. WELD,24,1341.6,1367.2,1898.8,1201.5,1668.7,1393.6,1935.5,0.75,1.021,1.0,1.2,2022,999,3796.3778784000006,4.0459152,215.0,12206.0208,170.18,4485.333786946611
3430,0.344,14.852,25.194,12456.883,Metal Loss,External,13.0,0.044,38.0,AXSL,25.0,,,,1.4,EXT ML ( NEAR SW ),11,N,N,5.97,284.688,07:00,0.628,CMFL,1025,65000,E.R. WELD,24,1341.6,1535.5,2132.6,1515.6,2105.0,1533.0,2129.2,0.668,1.144,1.0,1.2,2022,1000,3796.8579384,4.5268896000000005,206.5,12206.0208,7.619999999999999,4485.789080329221
3430,0.344,15.558,24.488,12457.589,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,15.0,EXT ML ( ON SW ),11,N,N,5.97,284.853,07:00,0.838,CMFL,1025,65000,E.R. WELD,24,1341.6,1393.3,1935.1,1233.0,1712.6,1397.6,1941.2,0.736,1.04,1.0,1.2,2022,1001,3797.0731272000003,4.7420784000000005,214.0,12206.0208,193.04,4485.993167394696
3430,0.344,17.06,22.982,12459.094,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,3.0,EXT ML ( ON SW ),11,N,N,5.97,285.204,07:00,0.628,CMFL,1025,65000,E.R. WELD,24,1341.6,1495.3,2076.9,1431.4,1988.1,1484.8,2062.2,0.686,1.114,1.0,1.2,2022,1002,3797.5318512,5.199888,207.0,12206.0208,88.89999999999999,4486.428225515856
3430,0.344,17.884,22.162,12459.915,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.5,EXT ML ( ON SW ),11,N,N,5.97,285.396,07:00,0.419,CMFL,1025,65000,E.R. WELD,24,1341.6,1480.7,2056.6,1403.5,1949.3,1467.2,2037.8,0.692,1.103,1.0,1.2,2022,1003,3797.7820920000004,5.4510432,211.5,12206.0208,48.26,4486.665556225142
3430,0.344,20.965,19.081,12462.995,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,9.6,EXT ML ( NEAR SW ),11,N,N,5.97,286.117,07:00,2.513,CMFL,1025,65000,E.R. WELD,24,1341.6,1431.7,1988.4,1291.1,1793.2,1410.1,1958.4,0.716,1.069,1.0,1.2,2022,1004,3798.7208760000003,6.390132,221.5,12206.0208,86.36,4487.555907728912
3430,0.344,26.604,13.442,12468.635,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,23.5,EXT ML ( ON SW ),11,N,N,5.97,287.435,07:00,0.209,CMFL,1025,65000,E.R. WELD,24,1341.6,1409.1,1957.0,1233.5,1713.2,1407.6,1955.0,0.728,1.048,1.0,1.2,2022,1005,3800.439948,8.1088992,216.0,12206.0208,147.32,4489.186291651401
3430,0.344,31.69,8.356,12473.72,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,11.6,EXT ML ( ON SW ),11,N,N,5.97,288.624,07:00,0.838,CMFL,1025,65000,E.R. WELD,24,1341.6,1442.2,2003.0,1294.8,1798.4,1443.9,2005.4,0.711,1.077,1.0,1.2,2022,1006,3801.989856,9.659112,214.5,12206.0208,88.89999999999999,4490.656238858113
3500,0.344,12.858,15.883,12696.404,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.5,SWA,4,N,N,5.97,330.188,10:56,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1026,3869.8639392000005,3.9191184000000003,326.5,8759.952,,4604.1533519999975
3570,0.344,39.147,0.889,12992.093,Seam Weld Manufacturing Anomaly,,,,,,,,,,11.8,SWA,4,N,N,5.97,302.47,10:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1044,3959.9899464000005,11.9320056,323.0,12203.887200000001,,4686.327431999998
3590,0.344,34.774,0.965,13067.904,Seam Weld Manufacturing Anomaly,,,,,,,,,,12.0,SWA,3,N,N,5.97,285.985,11:32,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1049,3983.0971392,10.5991152,342.0,10892.9424,,4705.840728
3630,0.344,0.279,39.767,13189.665,Metal Loss,External,22.0,0.076,37.0,GENE,20.0,,,,12.8,EXT ML,2,N,N,5.97,258.791,03:20,27.646,CMFL,1025,65000,E.R. WELD,24,1341.6,1331.1,1848.8,1166.8,1620.6,1367.2,1898.9,0.77,0.991,1.0,1.2,2022,1054,4020.2098920000003,0.08503920000000001,192.0,12206.9352,497.84000000000003,4750.216306164911
3680,0.344,13.094,27.119,13402.992,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.6,SWA,6,N,N,5.97,178.637,10:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1062,4085.2319616000004,3.9910512000000002,308.5,12256.008000000002,,4834.070087999979
3680,0.344,14.698,25.512,13404.6,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.0,SWA,6,N,N,5.97,177.867,10:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1063,4085.7220800000005,4.479950400000001,305.5,12256.008000000002,,4846.237704000014
3680,0.344,19.16,21.053,13409.058,Seam Weld Manufacturing Anomaly,,,,,,,,,,3.8,SWA,6,N,N,5.97,175.727,10:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1064,4087.0808784000005,5.839968000000001,305.0,12256.008000000002,,4858.454087999999
3680,0.344,19.534,20.679,13409.432,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.4,SWA,6,N,N,5.97,175.549,10:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1065,4087.1948736000004,5.9539632,308.0,12256.008000000002,,4870.676567999995
3680,0.344,24.298,15.912,13414.199,Seam Weld Manufacturing Anomaly,,,,,,,,,,6.7,SWA,6,N,N,5.97,173.262,10:12,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1066,4088.6478552000003,7.4060304,308.5,12256.008000000002,,4882.905144
3700,0.344,,,13462.037,Field Bend,,,,,,,,,,,BEND-COLD OVER,0,,,5.97,170.992,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1070,4103.2288776000005,,,12239.8536,,4912.089354470503
3750,0.344,35.41,2.507,13681.542,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,4.1,EXT ML,3,N,N,5.97,243.293,08:52,35.395,CMFL,1025,65000,E.R. WELD,24,1341.6,1459.6,2027.2,1370.9,1904.1,1443.1,2004.3,0.702,1.089,1.0,1.2,2022,1076,4170.1340016,10.792968,110.0,11557.101600000002,190.5,4979.447894956247
3810,0.344,7.661,32.543,13875.446,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.1,SWA,8,N,N,5.97,218.29,07:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1085,4229.2359408,2.3350728,210.5,12253.8744,,5053.477320000002
3810,0.344,8.159,32.041,13875.948,Seam Weld Manufacturing Anomaly,,,,,,,,,,8.7,SWA,8,N,N,5.97,218.183,07:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1086,4229.3889504,2.4868632,210.5,12253.8744,,5065.693704000034
3810,0.344,19.281,20.922,13887.067,Seam Weld Manufacturing Anomaly,,,,,,,,,,7.8,SWA,8,N,N,5.97,215.813,07:04,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1087,4232.7780216,5.8768488,212.5,12253.8744,,5077.922280000001
3810,0.344,21.391,18.812,13889.177,Metal Loss,Internal,26.0,0.089,46.0,AXSL,20.0,,,,0.4,INT ML,8,N,N,5.97,215.363,07:04,36.652,CMFL,1025,65000,E.R. WELD,24,1341.6,1545.4,2146.4,1543.2,2143.3,1544.8,2145.6,0.663,1.152,1.0,1.2,2022,1088,4233.4211496,6.519976799999999,26.5,12253.8744,5.08,5079.155234023515
3810,0.344,21.952,18.248,13889.741,Metal Loss,Internal,17.0,0.058,32.0,AXGR,20.0,,,,1.3,INT ML,8,N,N,5.97,215.243,07:04,15.499,CMFL,1025,65000,E.R. WELD,24,1341.6,1532.9,2129.1,1514.9,2104.0,1534.8,2131.7,0.669,1.143,1.0,1.2,2022,1089,4233.5930568,6.690969600000001,285.5,12253.8744,12.7,5079.484800880987
3810,0.344,22.644,17.559,13890.43,Metal Loss,Internal,35.0,0.12,50.0,GENE,20.0,,,,1.3,INT ML,8,N,N,5.97,215.095,07:04,36.233,CMFL,1025,65000,E.R. WELD,24,1341.6,1512.2,2100.3,1487.2,2065.6,1502.8,2087.2,0.678,1.127,1.0,1.2,2022,1090,4233.803064000001,6.9018912,25.0,12253.8744,35.559999999999995,5079.887410038429
3810,0.344,22.736,17.467,13890.522,Metal Loss,Internal,13.0,0.044,28.0,PITT,20.0,,,,0.6,INT ML,8,N,N,5.97,215.076,07:04,3.142,CMFL,1025,65000,E.R. WELD,24,1341.6,1545.3,2146.2,1540.9,2140.1,1544.7,2145.5,0.663,1.152,0.6,1.2,2022,1091,4233.8311056,6.9299328000000004,227.0,12253.8744,12.7,5079.941169171208
3810,0.344,22.766,17.438,13890.551,Metal Loss,Internal,21.0,0.072,36.0,PITT,20.0,,,,0.7,INT ML,8,N,N,5.97,215.07,07:04,17.802,CMFL,1025,65000,E.R. WELD,24,1341.6,1541.7,2141.2,1535.4,2132.6,1540.2,2139.2,0.665,1.149,0.6,1.2,2022,1092,4233.8399448,6.9390768,296.5,12253.8744,33.019999999999996,5079.9581149848
3850,0.344,39.249,0.997,14038.661,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,1.7,EXT ML,2,N,N,5.97,197.545,11:00,30.997,CMFL,1025,65000,E.R. WELD,24,1341.6,1525.2,2118.3,1495.8,2077.6,1520.5,2111.8,0.672,1.136,1.0,1.2,2022,1097,4278.9838728,11.963095200000001,182.0,12266.066400000002,33.019999999999996,5138.728923022214
3850,0.344,39.829,0.417,14039.242,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,7.1,EXT ML ( ON GW ),2,N,N,5.97,197.503,11:00,36.024,CMFL,1025,65000,E.R. WELD,24,1341.6,1425.5,1979.9,1298.0,1802.8,1436.8,1995.5,0.719,1.064,1.0,1.2,2022,1098,4279.1609616000005,12.139879200000001,164.5,12266.066400000002,134.61999999999998,5138.905149391046
3890,0.344,13.474,26.814,14107.572,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,3.3,EXT ML ( ON SW ),6,N,N,5.97,189.472,08:48,0.419,CMFL,1025,65000,E.R. WELD,24,1341.6,1504.7,2089.8,1438.4,1997.7,1496.3,2078.2,0.681,1.121,1.0,1.2,2022,1104,4299.9879456,4.1068752,261.5,12280.0872,55.88,5179.746149628276
3890,0.344,15.528,24.76,14109.626,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,1.8,EXT ML ( ON SW ),6,N,N,5.97,189.221,08:48,0.209,CMFL,1025,65000,E.R. WELD,24,1341.6,1529.1,2123.8,1500.5,2084.1,1525.4,2118.6,0.67,1.14,1.0,1.2,2022,1105,4300.614004800001,4.7329344,263.0,12280.0872,86.36,5180.36959817633
3890,0.344,19.564,20.725,14113.661,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.9,EXT ML ( ON SW ),6,N,N,5.97,188.73,08:48,0.628,CMFL,1025,65000,E.R. WELD,24,1341.6,1486.7,2064.8,1404.1,1950.1,1474.7,2048.2,0.69,1.107,1.0,1.2,2022,1106,4301.8438728,5.9631072000000005,266.5,12280.0872,50.8,5181.594337656076
3890,0.344,20.092,20.197,14114.19,Metal Loss,External,27.0,0.093,42.0,PITT,20.0,,,,0.6,EXT ML,6,N,N,5.97,188.665,08:48,20.106,CMFL,1025,65000,E.R. WELD,24,1341.6,1542.0,2141.6,1536.9,2134.6,1540.5,2139.6,0.665,1.149,0.6,1.2,2022,1107,4302.005112000001,6.1240416,0.0,12280.0872,27.94,5181.754904492454
3890,0.344,20.463,19.826,14114.56,Metal Loss,External,26.0,0.089,41.0,CIGR,25.0,,,,0.7,EXT ML,6,N,N,5.97,188.62,08:48,20.106,CMFL,1025,65000,E.R. WELD,24,1341.6,1540.8,2140.0,1534.4,2131.1,1539.1,2137.6,0.665,1.148,1.0,1.2,2022,1108,4302.117888,6.2371224000000005,0.0,12280.0872,33.019999999999996,5181.867210219221
3890,0.344,21.946,18.34,14116.047,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,5.8,EXT ML ( ON SW ),6,N,N,5.97,188.439,08:48,0.209,CMFL,1025,65000,E.R. WELD,24,1341.6,1472.5,2045.1,1358.9,1887.3,1466.2,2036.3,0.696,1.096,1.0,1.2,2022,1109,4302.5711256,6.6891408000000006,259.5,12280.0872,76.19999999999999,5182.31855782923
3910,0.344,16.503,23.694,14190.889,Seam Weld Manufacturing Anomaly,,,,,,,,,,0.5,SWA,1,N,N,5.97,182.703,11:44,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1112,4325.3829672,5.0301144,355.5,12251.131200000002,,5212.339080000001
3920,0.5,,,14222.254,Bend,,,,,,,,,,,BEND-HOT PULLED - 6.2D - 45° RIGHT,0,,,4.14,181.353,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,1114,4334.943019200001,,,4732.9344,,5230.685654438022
3950,0.344,4.721,35.686,14297.595,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,11.7,EXT ML ( NEAR SW ),9,N,N,5.97,180.905,10:40,1.885,CMFL,1025,65000,E.R. WELD,24,1341.6,1446.4,2008.9,1294.3,1797.7,1428.7,1984.4,0.709,1.077,1.0,1.2,2022,1118,4357.906956,1.4389608,309.5,12316.0536,109.21999999999998,5254.211020016927
3950,0.344,5.886,34.521,14298.76,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,22.8,EXT ML ( ON SW ),9,N,N,5.97,180.704,10:40,1.676,CMFL,1025,65000,E.R. WELD,24,1341.6,1424.5,1978.4,1258.1,1747.4,1411.3,1960.1,0.72,1.065,1.0,1.2,2022,1119,4358.2620480000005,1.7940528000000002,315.5,12316.0536,66.03999999999999,5254.563414136759
3950,0.344,9.839,30.568,14302.713,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,6.5,EXT ML ( NEAR SW ),9,N,N,5.97,180.02,10:40,0.838,CMFL,1025,65000,E.R. WELD,24,1341.6,1465.6,2035.6,1344.0,1866.7,1450.2,2014.2,0.699,1.091,1.0,1.2,2022,1120,4359.4669224,2.9989272000000002,324.0,12316.0536,40.64,5255.759134270398
3950,0.344,11.486,28.921,14304.36,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,3.5,EXT ML,9,N,N,5.97,179.735,10:40,4.189,CMFL,1025,65000,E.R. WELD,24,1341.6,1507.9,2094.3,1440.9,2001.2,1500.3,2083.7,0.68,1.125,1.0,1.2,2022,1121,4359.968928,3.5009328,339.5,12316.0536,58.419999999999995,5256.25732578573
3950,0.344,11.949,28.458,14304.823,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,21.8,EXT ML ( ON SW ),9,N,N,5.97,179.655,10:40,2.304,CMFL,1025,65000,E.R. WELD,24,1341.6,1426.6,1981.4,1260.1,1750.1,1420.7,1973.2,0.719,1.065,1.0,1.2,2022,1122,4360.110050400001,3.6420552,312.0,12316.0536,88.89999999999999,5256.397375980993
3950,0.344,15.65,24.757,14308.524,Metal Loss,External,15.0,0.052,30.0,PITT,20.0,,,,1.9,EXT ML,9,N,N,5.97,179.014,10:40,1.885,CMFL,1025,65000,E.R. WELD,24,1341.6,1522.3,2114.3,1488.5,2067.3,1517.1,2107.1,0.673,1.134,0.6,1.2,2022,1123,4361.2381152,4.77012,311.0,12316.0536,27.94,5257.51687009043
3950,0.344,19.035,21.371,14311.909,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,27.7,EXT ML ( ON SW ),9,N,N,5.97,178.429,10:40,2.094,CMFL,1025,65000,E.R. WELD,24,1341.6,1378.3,1914.3,1202.1,1669.6,1380.4,1917.2,0.744,1.028,1.0,1.2,2022,1124,4362.2698632,5.801868000000001,321.0,12316.0536,182.88,5258.540779185389
3950,0.344,23.028,17.379,14315.902,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,6.5,EXT ML,9,N,N,5.97,177.738,10:40,3.77,CMFL,1025,65000,E.R. WELD,24,1341.6,1478.3,2053.1,1361.6,1891.1,1465.3,2035.2,0.693,1.102,1.0,1.2,2022,1125,4363.486929600001,7.0189344,338.0,12316.0536,48.26,5259.74859868795
3950,0.344,35.692,4.715,14328.566,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,53.8,EXT ML ( ON SW ),9,N,N,5.97,175.546,10:40,0.628,CMFL,1025,65000,E.R. WELD,24,1341.6,1394.7,1937.1,1211.9,1683.2,1374.8,1909.5,0.735,1.043,1.0,1.2,2022,1126,4367.3469168,10.8789216,317.0,12316.0536,127.0,5263.579258888411
3960,0.344,16.306,23.743,14349.587,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.5,EXT ML,1,N,N,5.97,170.055,01:32,36.861,CMFL,1025,65000,E.R. WELD,24,1341.6,1504.8,2090.0,1455.2,2021.2,1496.0,2077.7,0.681,1.122,1.0,1.2,2022,1128,4373.7541176,4.970068800000001,230.0,12206.9352,93.98,5269.9893158664645
4020,0.344,23.527,16.585,14597.743,Metal Loss,External,12.0,0.041,27.0,AXGR,20.0,,,,3.5,EXT ML,2,N,N,5.97,95.804,09:52,13.195,CMFL,1025,65000,E.R. WELD,24,1341.6,1502.5,2086.8,1429.1,1984.8,1493.7,2074.6,0.682,1.118,1.0,1.2,2022,1137,4449.392066400001,7.171029600000001,232.5,12227.052,22.86,5345.463490005435
4040,0.344,33.76,6.28,14688.409,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.9,SWA,2,N,N,5.97,67.262,11:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1142,4477.0270632,10.290048,354.0,12202.972800000001,,5361.1302479999995
4040,0.344,34.918,5.118,14689.57,Seam Weld Manufacturing Anomaly,,,,,,,,,,5.4,SWA,2,N,N,5.97,66.803,11:52,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1143,4477.3809360000005,10.6430064,358.5,12202.972800000001,,5370.670488000003
4050,0.344,13.937,26.319,14708.625,Seam Weld Manufacturing Anomaly,,,,,,,,,,13.2,SWA,2,N,N,5.97,60.018,01:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,1145,4483.1889,4.2479976,31.0,12270.0288,,5395.139832000002
4050,0.344,23.688,16.568,14718.376,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.4,EXT ML,2,N,N,5.97,56.804,01:00,3.56,CMFL,1025,65000,E.R. WELD,24,1341.6,1454.9,2020.7,1346.1,1869.5,1436.9,1995.8,0.705,1.084,1.0,1.2,2022,1146,4486.1610048,7.2201024,13.0,12270.0288,96.52,5399.676077671036
4070,0.344,36.296,1.686,14778.14,Metal Loss,External,10.0,0.034,25.0,GENE,20.0,,,,8.7,EXT ML ( NEAR SW ),1,N,N,5.97,43.49,10:04,1.257,CMFL,1025,65000,E.R. WELD,24,1341.6,1462.0,2030.6,1330.2,1847.5,1459.0,2026.4,0.701,1.092,1.0,1.2,2022,1149,4504.377072,11.0630208,311.0,11576.913600000002,88.89999999999999,5431.270818864094
4080,0.344,3.077,26.791,14782.904,Metal Loss,External,10.0,0.034,25.0,AXGR,20.0,,,,2.4,EXT ML,24,N,N,5.97,42.768,09:16,32.254,CMFL,1025,65000,E.R. WELD,24,1341.6,1523.5,2115.9,1480.2,2055.8,1518.7,2109.3,0.673,1.136,1.0,1.2,2022,1151,4505.8291392,0.9378696000000001,124.0,9104.0712,17.779999999999998,5433.073836668922
4080,0.344,3.652,26.217,14783.478,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,2.3,EXT ML,24,N,N,5.97,42.726,09:16,32.882,CMFL,1025,65000,E.R. WELD,24,1341.6,1487.1,2065.4,1434.7,1992.6,1473.5,2046.6,0.689,1.108,1.0,1.2,2022,1152,4506.0040944,1.1131296000000002,121.0,9104.0712,71.11999999999999,5433.308894828753
4080,0.344,4.098,25.771,14783.924,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,10.4,EXT ML,24,N,N,5.97,42.694,09:16,15.08,CMFL,1025,65000,E.R. WELD,24,1341.6,1356.8,1884.4,1199.6,1666.2,1392.0,1933.4,0.756,1.009,1.0,1.2,2022,1153,4506.1400352,1.2490704,202.0,9104.0712,144.78,5433.491535837959
4080,0.344,5.062,24.806,14784.888,Metal Loss,External,13.0,0.044,28.0,PITT,20.0,,,,1.5,EXT ML,24,N,N,5.97,42.624,09:16,32.882,CMFL,1025,65000,E.R. WELD,24,1341.6,1534.2,2130.9,1514.0,2102.7,1531.5,2127.0,0.668,1.144,0.6,1.2,2022,1154,4506.4338624,1.5428976,120.5,9104.0712,25.4,5433.8863025036
4080,0.344,5.246,24.623,14785.072,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,7.9,EXT ML,24,N,N,5.97,42.611,09:16,12.566,CMFL,1025,65000,E.R. WELD,24,1341.6,1433.8,1991.5,1303.1,1809.9,1441.9,2002.6,0.715,1.071,1.0,1.2,2022,1155,4506.4899456,1.5989808000000003,212.5,9104.0712,132.07999999999998,5433.961652157623
4080,0.344,5.4,24.469,14785.226,Metal Loss,External,14.0,0.048,29.0,PITT,20.0,,,,1.0,EXT ML,24,N,N,5.97,42.6,09:16,32.254,CMFL,1025,65000,E.R. WELD,24,1341.6,1540.3,2139.3,1529.2,2123.9,1538.8,2137.2,0.666,1.148,0.6,1.2,2022,1156,4506.536884800001,1.6459200000000003,123.5,9104.0712,25.4,5434.024716541968
4080,0.344,5.758,24.111,14785.584,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.2,EXT ML,24,N,N,5.97,42.574,09:16,32.673,CMFL,1025,65000,E.R. WELD,24,1341.6,1511.9,2099.9,1470.5,2042.4,1504.5,2089.6,0.678,1.127,1.0,1.2,2022,1157,4506.6460032,1.7550384,122.0,9104.0712,50.8,5434.171320760121
